publishedAt,authorDisplayName,textDisplay,likeCount
2023-03-01T06:05:49Z,Ramzi Channel,Sampai saat ini masih bertahan di 11 Pro Max udh ngumpulin duit untuk 15 Pro 😅yang sebentar lagi rilis,0
2023-02-28T08:43:16Z,Reno Official,"Kasihan, iPhone tidak ada kamera depan. Selalu pakai cermin Toilet buat rekam/foto diri sendiri. :v",0
2023-02-27T13:29:06Z,Zeid,"Selalu pengen ipin, mau secinta apapun sma andro tp ane pribadi emg ngakuin klo ipin itu beda banget.<br>Apadaya budget xiaomi doang 😂",0
2023-02-26T05:04:44Z,Perdijem Huwae,5 tahun kedepan baru beli lah... 🤣,0
2023-02-26T02:13:34Z,Kang Mujo,Biasa aja sih menurutku gak terlalu berguna bgt,0
2023-02-25T23:42:04Z,Ressa,"<a href=""https://www.youtube.com/watch?v=Lvq01WvB5D0&amp;t=13m55s"">13:55</a> ini yang saya suka",0
2023-02-25T19:00:11Z,Yusuf Maulana,Bismillah,0
2023-02-25T05:02:57Z,rino siswanto,Sama Kayak iphone 13 indentitas nya keliatan dr Camera yg posisi nya Silang.. untuk 14 Pro identitas nya di DyLan dan warna baru.. 😬,0
2023-02-24T21:29:33Z,ʀʜɪɴᴏ ᴍᴀx,"Bang,aku sebelumnya pake 12promax ,sekarang pake 14pro ,memang batrenya lebih kerasa boros ya bang ? Soalnya dari dulu pake yg promax ,tumben sekarang pake yg pro hehe",0
2023-02-24T03:56:41Z,Septyan Kholiq Fauzy,hasil fotonya kok kaya lebih bagus ip 13 pro nya ya,0
2023-02-24T02:55:58Z,Irana Dewi,"untuk masalah mengalami screen burn-in akibat penggunaan fitur Always on Display dan masalah layar iPhone 14 Pro dan iPhone 14 Pro Max cepat terbakar di area cutout Dynamic Island, sebuah lekukan kecil di bagian atas layar yang menampung kamera depan dan sensor lainnya?",0
2023-02-23T06:37:24Z,Jaka Saputra,Yg 14 pro kayak patah2 di vidio walaupun dia stabil,0
2023-02-23T06:24:22Z,Jaka Saputra,Camera depan nya mana,0
2023-02-23T03:37:07Z,Wahyu Septian,bang IP lu 11 g ada sinyal tuh😂.. waktu bandingin dynamic sama noth wkkw,0
2023-02-22T19:11:54Z,Yogi antolin,Ngetap tuh tompel kalo mau selfie ngeblur harus di lap dulu 😅,0
2023-02-22T09:23:30Z,aldi almasyi,"Bang, camera 14 pro pas buat rekam video suka goyang gt framenya itu knp yaa?? Jwb bang tolong, nyari2 di gugel ga nemu juga masalahnya knp klo ky gt. Mksh bang🙏🏼",0
